idx,actual,predicted,prob_X1,prob_diff,misclassified,error_type,validation_type,numCrash,log_exp,DOWNTOWN_Y,Presence.of.stop.sign,Presence.of.curve.sign,Presence.of.vehicle.sign,Roadway.segment.count,TradeLandUse,ServiceLandUse,RecreationalLandUse,UnderdevelopedLandUse,Total.sidewalk.length..ft.,TransportationLandUse,crsh_oddyr,crsh_eveny,crash
514,X0,X1,0.7670623064041138,0.7670623064041138,TRUE,False Positive,temporal,2,1.045069435195129,0,1,0,1,5,0.084246342,0.137982876,0.001775075,0.049086811,0.9663089843,0,NA,NA,NA
12423,X0,X1,0.7666452080011368,0.7666452080011368,TRUE,False Positive,temporal,0,1.73554163445358,0,1,0,1,4,0.2612533,0.222606,0,0.1081208,0.5945255,0.06591588,0,0,0
4662,X1,X0,0.23336589336395264,0.7666341066360474,TRUE,False Negative,temporal,1,1.398935626132978,0,1,0,0,4,0.004637137,0.017493879,0,0.034115657,1.084017272,0,NA,NA,NA
10599,X0,X1,0.766559049487114,0.766559049487114,TRUE,False Positive,temporal,0,2.514899866357668,0,1,0,0,3,0.146152117,0.300358759,0.005084883,0.067145313,0.6913857,0,NA,NA,NA
11290,X0,X1,0.7664744853973389,0.7664744853973389,TRUE,False Positive,temporal,0,3.000744961105587,0,0,0,0,3,0.127454,0.03990461,0,0.08996259,1.037044,0,NA,NA,NA
13530,X0,X1,0.7660432755947113,0.7660432755947113,TRUE,False Positive,temporal,0,1.659294070307575,0,1,0,1,3,0.08733816,0.112803,0.04545652,0.02659453,0.618373,0.007680306,NA,NA,NA
9308,X0,X1,0.7658809274435043,0.7658809274435043,TRUE,False Positive,temporal,0,3.2481948980882,0,0,0,0,3,0.084775437,0.198248944,0.001570978,0.049696281,0.7851338,0,0,0,0
634,X0,X1,0.7653446942567825,0.7653446942567825,TRUE,False Positive,temporal,0,0.8846443051870472,0,1,0,0,3,0,0.00311038,0.494103155,0.118521759,1.013330098,0,NA,NA,NA
1814,X0,X1,0.765343651175499,0.765343651175499,TRUE,False Positive,temporal,1,2.613617959960421,0,1,0,1,4,0.010668874,0.048274137,0.012057526,0.037879991,1.766531579,0,NA,NA,NA
4175,X0,X1,0.765343651175499,0.765343651175499,TRUE,False Positive,temporal,1,2.618798340675351,0,1,0,1,4,0.010668874,0.048274137,0.012057526,0.037879991,1.762503985,0,NA,NA,NA
4176,X0,X1,0.765343651175499,0.765343651175499,TRUE,False Positive,temporal,1,2.615087807407852,0,1,0,1,4,0.010668874,0.048274137,0.012057526,0.037879991,1.764734522,0,NA,NA,NA
7099,X1,X0,0.2353130578994751,0.7646869421005249,TRUE,False Negative,temporal,2,1.674323493299205,0,1,0,0,3,0.01765328,0.02093067,0.1191406,0.009959547,1.139249,0,NA,NA,NA
13544,X1,X0,0.2353130578994751,0.7646869421005249,TRUE,False Negative,temporal,2,1.67462480941211,0,1,0,0,3,0.01765328,0.02093067,0.1191406,0.009959547,1.138637,0,1,1,2
13263,X0,X1,0.7644747644662857,0.7644747644662857,TRUE,False Positive,temporal,0,2.673357726581142,0,0,0,0,4,0.063574083,0.27486406,0.00194924,0.208980705,0.5068542,0.0436716,NA,NA,NA
2656,X0,X1,0.7641117721796036,0.7641117721796036,TRUE,False Positive,temporal,1,3.236172672424615,0,1,0,0,3,0.042495551,0.093665662,0.004786689,0.028837404,0.9932285683,0.001126933,NA,NA,NA
9458,X1,X0,0.23615878820419312,0.7638412117958069,TRUE,False Negative,temporal,1,1.234874844911059,0,1,0,0,3,0.01670399,0.01384937,0.1001649,0.2314116,0.5493169,0,NA,NA,NA
5239,X0,X1,0.7633558362722397,0.7633558362722397,TRUE,False Positive,temporal,0,3.053256074821828,0,1,0,0,4,0.047471993,0.06407736800000001,0,0.010477705,1.187022,0,NA,NA,NA
10917,X0,X1,0.763113871216774,0.763113871216774,TRUE,False Positive,temporal,0,0.6484811914670972,0,1,0,0,3,0.0961425,0.0646314,0.2481021,0.08290207,1.185874,0.007836171,NA,NA,NA
2168,X1,X0,0.23723578453063965,0.7627642154693604,TRUE,False Negative,temporal,1,1.720541881470256,0,1,0,0,3,0.001915824,0.004486347,0.125739586,0.228226098,1.055477664,0,NA,NA,NA
1414,X0,X1,0.7627407312393188,0.7627407312393188,TRUE,False Positive,temporal,0,4.735535377727343,0,1,0,0,3,0.092076567,0.132005162,0.022085779,0.104930991,0.3307737043,0,NA,NA,NA
14049,X0,X1,0.7627407312393188,0.7627407312393188,TRUE,False Positive,temporal,0,4.614901402768683,0,1,0,0,3,0.092076567,0.132005162,0.022085779,0.104930991,0.4099576,0,NA,NA,NA
1938,X0,X1,0.7627181857824326,0.7627181857824326,TRUE,False Positive,temporal,1,3.224316135872644,0,1,1,1,3,0.193577519,0.176036196,0.050919674,0.176808853,0.8256002214,0,NA,NA,NA
3181,X0,X1,0.7620503604412079,0.7620503604412079,TRUE,False Positive,temporal,0,1.907718064836607,0,1,0,1,4,0.005235001,0.16573211,0.044963161,0.01459046,1.188887974,0,NA,NA,NA
818,X0,X1,0.7620155364274979,0.7620155364274979,TRUE,False Positive,temporal,0,3.616038017596416,1,0,0,0,4,0.06545763,0.126330367,0.043104374,0.091279344,0.2314862832,0,NA,NA,NA
1023,X1,X0,0.2382596731185913,0.7617403268814087,TRUE,False Negative,temporal,1,0.1882735572915108,0,1,0,0,4,0.054340096,0.018157781,0.001500761,0.012212523,0.2983332259,0,NA,NA,NA
6889,X0,X1,0.7616899311542511,0.7616899311542511,TRUE,False Positive,temporal,0,2.351604482410278,0,1,0,1,3,0.05782688,0.111358,0.03709863,0.01095137,1.188905,0,NA,NA,NA
7205,X0,X1,0.7616899311542511,0.7616899311542511,TRUE,False Positive,temporal,0,2.355930795930057,0,1,0,1,3,0.05782688,0.111358,0.03709863,0.01095137,1.186487,0,NA,NA,NA
8423,X0,X1,0.7616690695285797,0.7616690695285797,TRUE,False Positive,temporal,0,1.670109293854598,0,1,0,0,3,0.3279635,0.04232335,0,0.03740122,0.6351471,0,NA,NA,NA
9678,X0,X1,0.7616357505321503,0.7616357505321503,TRUE,False Positive,temporal,0,2.057185735640075,0,1,0,0,3,0.1672679,0.1250849,0.06097401,0.1494834,1.634726,4.72e-5,NA,NA,NA
13715,X0,X1,0.7616357505321503,0.7616357505321503,TRUE,False Positive,temporal,0,2.056012117482441,0,1,0,0,3,0.1672679,0.1250849,0.06097401,0.1494834,1.584112,0,NA,NA,NA
2801,X0,X1,0.7613785266876221,0.7613785266876221,TRUE,False Positive,temporal,0,2.280962324384618,0,1,0,1,4,0.015329379,0.204636291,0.003824615,0.197952323,0.8428190971,0.010876348,NA,NA,NA
6006,X0,X1,0.7610150724649429,0.7610150724649429,TRUE,False Positive,temporal,0,3.018633298996265,0,1,0,0,4,0.02760078,0.09093871,0.07284096,0.06805673,0.8853434,0,NA,NA,NA
6478,X1,X0,0.23900818824768066,0.7609918117523193,TRUE,False Negative,temporal,1,2.135942337297386,0,0,0,0,4,0.072517265,0.103148479,0.224395715,0.019660913,0.7028956,0.3355389,NA,NA,NA
1839,X0,X1,0.7609289288520813,0.7609289288520813,TRUE,False Positive,temporal,0,2.07327832984557,0,1,0,0,3,0.14387568,0.008245358000000001,0.031461275,0.026614192,0.4434577942,0.14300965,0,0,0
10560,X1,X0,0.23958969116210938,0.7604103088378906,TRUE,False Negative,temporal,2,1.232566108684385,0,1,0,0,3,0.02252107,0.02035578,0,0.05221178,0.489035,0.003488013,NA,NA,NA
8392,X0,X1,0.7602469027042389,0.7602469027042389,TRUE,False Positive,temporal,0,2.427727150612975,0,1,0,0,4,0.2508403,0.1482087,0.02220636,0.03766796,1.127298,7.517450000000001e-4,NA,NA,NA
7408,X0,X1,0.759672611951828,0.759672611951828,TRUE,False Positive,temporal,2,3.064725521690766,0,1,0,1,3,0,0.024753868,0.26883644,0.004804607,0.6188258,0,NA,NA,NA
11478,X0,X1,0.7595673650503159,0.7595673650503159,TRUE,False Positive,temporal,1,2.117966232590729,0,1,0,0,4,0.061053659,0.19039642,0.160282535,0.14060818,0.9211944,0.03132112,NA,NA,NA
12632,X0,X1,0.7592444270849228,0.7592444270849228,TRUE,False Positive,temporal,1,1.759151894692083,0,0,0,1,4,0.1542789,0.09905936,0.004312584,0.1306177,0.2493813,0.05793656,NA,NA,NA
