idx,actual,predctd,prob_X1,prb_dff,msclssf,errr_ty,vldtn_t,log_exp,trade,service,recre,product,underdv,downtwn,avg_rd_,crsswl_,crv_sgn,seg_cnt,park_rd,C_DISTR,crsh_dd,crsh_vn,crash,lon_degree,lat_degree,avg_prob_diff
12749,X0,X1,0.98343962430954,0.98343962430954,1,False Positive,spatial,5.01521097417424,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,-122.329,47.601,0.9847811069339515
12749,X0,X1,0.986122589558363,0.986122589558363,1,False Positive,temporal,5.01521097417424,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,-122.329,47.601,0.9847811069339515
8656,X0,X1,0.989607989788055,0.989607989788055,1,False Positive,spatial,4.99093170799463,0.1602522,20.45418,0.006338477,0,0.06176222,1,25.7,1,1,2,1,7,0,0,0,-122.338,47.614,0.984410539269447
8656,X0,X1,0.979213088750839,0.979213088750839,1,False Positive,temporal,4.99093170799463,0.1602522,20.45418,0.006338477,0,0.06176222,1,25.7,1,1,2,1,7,0,0,0,-122.338,47.614,0.984410539269447
12237,X0,X1,0.981890320777893,0.981890320777893,1,False Positive,spatial,4.83106035292277,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,-122.33,47.6,0.9833626309409735
12238,X0,X1,0.981890320777893,0.981890320777893,1,False Positive,spatial,5.1380310411307,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,-122.33,47.6,0.9833626309409735
12237,X0,X1,0.984834941104054,0.984834941104054,1,False Positive,temporal,4.83106035292277,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,-122.33,47.6,0.9833626309409735
12238,X0,X1,0.984834941104054,0.984834941104054,1,False Positive,temporal,5.1380310411307,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,-122.33,47.6,0.9833626309409735
2839,X0,X1,0.978318095207214,0.978318095207214,1,False Positive,spatial,5.0764456866936,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,-122.329,47.601,0.9818002567626536
2883,X0,X1,0.978318095207214,0.978318095207214,1,False Positive,spatial,5.07706913979217,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,-122.329,47.601,0.9818002567626536
2839,X0,X1,0.985282418318093,0.985282418318093,1,False Positive,temporal,5.0764456866936,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,-122.329,47.601,0.9818002567626536
2883,X0,X1,0.985282418318093,0.985282418318093,1,False Positive,temporal,5.07706913979217,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,-122.329,47.601,0.9818002567626536
5941,X0,X1,0.97799950838089,0.97799950838089,1,False Positive,spatial,4.88628711005933,0.1384438,13.76249,0.008157912,0,0.08120525,2,19.4,1,1,2,1,7,0,1,1,-122.344,47.614,0.9808814423158765
5941,X0,X1,0.983763376250863,0.983763376250863,1,False Positive,temporal,4.88628711005933,0.1384438,13.76249,0.008157912,0,0.08120525,2,19.4,1,1,2,1,7,0,1,1,-122.344,47.614,0.9808814423158765
360,X0,X1,0.991506993770599,0.991506993770599,1,False Positive,spatial,5.5854331266319,0.11883983,13.8952633,0.009809549,0,0.054529557,2,18.9,1,1,2,1,7,0,0,0,-122.347,47.615,0.9807908767834306
360,X0,X1,0.970074759796262,0.970074759796262,1,False Positive,temporal,5.5854331266319,0.11883983,13.8952633,0.009809549,0,0.054529557,2,18.9,1,1,2,1,7,0,0,0,-122.347,47.615,0.9807908767834306
13944,X0,X1,0.983431875705719,0.983431875705719,1,False Positive,spatial,5.66761655364028,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,-122.332,47.603,0.9806665014475585
13944,X0,X1,0.977901127189398,0.977901127189398,1,False Positive,temporal,5.66761655364028,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,-122.332,47.603,0.9806665014475585
5158,X0,X1,0.981890320777893,0.981890320777893,1,False Positive,spatial,5.22274890101607,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,-122.33,47.6,0.9803518103435636
5158,X0,X1,0.978813299909234,0.978813299909234,1,False Positive,temporal,5.22274890101607,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,-122.33,47.6,0.9803518103435636
10897,X0,X1,0.981152057647705,0.981152057647705,1,False Positive,spatial,5.2863884298169,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,-122.333,47.613,0.9799321666359899
10897,X0,X1,0.978712275624275,0.978712275624275,1,False Positive,temporal,5.2863884298169,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,-122.333,47.613,0.9799321666359899
5942,X0,X1,0.984823107719421,0.984823107719421,1,False Positive,spatial,5.16066879202911,0.1615335,13.25308,0.008686603,0,0.08198275,1,19.4,1,1,2,1,7,0,1,1,-122.343,47.615,0.9790540337562561
5942,X0,X1,0.973284959793091,0.973284959793091,1,False Positive,temporal,5.16066879202911,0.1615335,13.25308,0.008686603,0,0.08198275,1,19.4,1,1,2,1,7,0,1,1,-122.343,47.615,0.9790540337562561
2707,X0,X1,0.986071407794952,0.986071407794952,1,False Positive,spatial,4.70424264011703,0.144626893,13.0161307,0.034205601,0,0.090072006,1,15,1,1,2,1,7,0,2,2,-122.343,47.616,0.979022077284753
2707,X0,X1,0.971972746774554,0.971972746774554,1,False Positive,temporal,4.70424264011703,0.144626893,13.0161307,0.034205601,0,0.090072006,1,15,1,1,2,1,7,0,2,2,-122.343,47.616,0.979022077284753
12862,X0,X1,0.980577170848846,0.980577170848846,1,False Positive,spatial,4.8097073155723304,0.08328656,11.97984,0.02275977,0,0.1281947,2,19.2,1,1,2,1,2,0,0,0,-122.328,47.6,0.9781724289059635
12862,X0,X1,0.975767686963081,0.975767686963081,1,False Positive,temporal,4.8097073155723304,0.08328656,11.97984,0.02275977,0,0.1281947,2,19.2,1,1,2,1,2,0,0,0,-122.328,47.6,0.9781724289059635
8660,X0,X1,0.977053284645081,0.977053284645081,1,False Positive,spatial,4.72460439997669,0.1563067,20.32379,0.006338477,0,0.06587324,1,16.8,1,1,2,1,7,0,0,0,-122.339,47.614,0.977562263607979
8660,X0,X1,0.978071242570877,0.978071242570877,1,False Positive,temporal,4.72460439997669,0.1563067,20.32379,0.006338477,0,0.06587324,1,16.8,1,1,2,1,7,0,0,0,-122.339,47.614,0.977562263607979
10898,X0,X1,0.991419911384583,0.991419911384583,1,False Positive,spatial,4.568526689799,0.1354556,19.86069,0.006747284,0,0.1104987,1,16.8,1,1,2,1,7,0,3,3,-122.337,47.616,0.977360086515546
10898,X0,X1,0.963300261646509,0.963300261646509,1,False Positive,temporal,4.568526689799,0.1354556,19.86069,0.006747284,0,0.1104987,1,16.8,1,1,2,1,7,0,3,3,-122.337,47.616,0.977360086515546
9447,X0,X1,0.984052419662476,0.984052419662476,1,False Positive,spatial,5.30188289652928,0.06651837,13.42081,0.1423314,0,0.04573919,2,19,1,1,2,1,7,0,0,0,-122.351,47.617,0.976770680397749
9447,X0,X1,0.969488941133022,0.969488941133022,1,False Positive,temporal,5.30188289652928,0.06651837,13.42081,0.1423314,0,0.04573919,2,19,1,1,2,1,7,0,0,0,-122.351,47.617,0.976770680397749
8281,X0,X1,0.980722606182098,0.980722606182098,1,False Positive,spatial,4.56417253727207,0.1051314,29.81929,0.01076687,0,0.06133591,2,16.8,2,1,1,1,1,0,2,2,-122.333,47.602,0.976738936267793
8281,X0,X1,0.972755266353488,0.972755266353488,1,False Positive,temporal,4.56417253727207,0.1051314,29.81929,0.01076687,0,0.06133591,2,16.8,2,1,1,1,1,0,2,2,-122.333,47.602,0.976738936267793
7699,X0,X1,0.991332590579987,0.991332590579987,1,False Positive,spatial,5.085574358764,0.08243364,14.27482,0.1082272,0,0.04964688,2,18.9,1,1,2,1,7,0,1,1,-122.349,47.617,0.976704012602568
7699,X0,X1,0.962075434625149,0.962075434625149,1,False Positive,temporal,5.085574358764,0.08243364,14.27482,0.1082272,0,0.04964688,2,18.9,1,1,2,1,7,0,1,1,-122.349,47.617,0.976704012602568
454,X0,X1,0.99091500043869,0.99091500043869,1,False Positive,spatial,5.13152564393008,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,-122.346,47.616,0.9759691078215835
454,X0,X1,0.961023215204477,0.961023215204477,1,False Positive,temporal,5.13152564393008,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,-122.346,47.616,0.9759691078215835
3023,X0,X1,0.989500224590302,0.989500224590302,1,False Positive,spatial,5.1395767977709,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,-122.346,47.616,0.9752617198973894
8591,X0,X1,0.989500224590302,0.989500224590302,1,False Positive,spatial,5.13338717218599,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,-122.346,47.616,0.9752617198973894
3023,X0,X1,0.961023215204477,0.961023215204477,1,False Positive,temporal,5.1395767977709,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,-122.346,47.616,0.9752617198973894
8591,X0,X1,0.961023215204477,0.961023215204477,1,False Positive,temporal,5.13338717218599,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,-122.346,47.616,0.9752617198973894
12750,X0,X1,0.971141755580902,0.971141755580902,1,False Positive,spatial,5.08141279264786,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,-122.329,47.601,0.975150371901691
12750,X0,X1,0.97915898822248,0.97915898822248,1,False Positive,temporal,5.08141279264786,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,-122.329,47.601,0.975150371901691
376,X0,X1,0.982779085636139,0.982779085636139,1,False Positive,spatial,4.82770624020913,0.148727177,19.1186782,0.019948171,0,0.079523328,1,15.7,1,1,2,1,7,0,2,2,-122.336,47.613,0.9748543929308655
376,X0,X1,0.966929700225592,0.966929700225592,1,False Positive,temporal,4.82770624020913,0.148727177,19.1186782,0.019948171,0,0.079523328,1,15.7,1,1,2,1,7,0,2,2,-122.336,47.613,0.9748543929308655
8490,X0,X1,0.990513443946838,0.990513443946838,1,False Positive,spatial,4.78843667757138,0.107155941,14.8828846,0.019316062,0,0.102729308,1,14.5,1,1,2,1,7,0,0,0,-122.332,47.614,0.9747604466974735
8490,X0,X1,0.959007449448109,0.959007449448109,1,False Positive,temporal,4.78843667757138,0.107155941,14.8828846,0.019316062,0,0.102729308,1,14.5,1,1,2,1,7,0,0,0,-122.332,47.614,0.9747604466974735
8491,X0,X1,0.994368135929108,0.994368135929108,1,False Positive,spatial,4.57019059467793,0.107155941,14.8828846,0.019316062,0,0.102729308,1,29.3,1,1,2,1,7,0,0,0,-122.332,47.614,0.9745359253138305
8491,X0,X1,0.954703714698553,0.954703714698553,1,False Positive,temporal,4.57019059467793,0.107155941,14.8828846,0.019316062,0,0.102729308,1,29.3,1,1,2,1,7,0,0,0,-122.332,47.614,0.9745359253138305
9446,X0,X1,0.977961659431458,0.977961659431458,1,False Positive,spatial,4.82851777971704,0.08753481,13.08848,0.1002661,0,0.0578231,2,18.7,1,1,2,1,7,0,0,0,-122.352,47.616,0.974514103494585
9446,X0,X1,0.971066547557712,0.971066547557712,1,False Positive,temporal,4.82851777971704,0.08753481,13.08848,0.1002661,0,0.0578231,2,18.7,1,1,2,1,7,0,0,0,-122.352,47.616,0.974514103494585
