"validation","model","subsampling","set","accuracy","balanced_accuracy","precision","recall","f1_score","mcc","auc_roc"
"spatial","gini","smote","M3",0.850450150050017,0.605188554503623,0.490322580645161,0.256756756756757,0.337028824833703,0.279388550277312,0.715997161545107
"spatial","gini","up","M1",0.792264088029343,0.593835396061423,0.303728070175439,0.311936936936937,0.307777777777778,0.185621391045592,0.589783986530562
"spatial","gini","up","M3",0.754918306102034,0.690547592602387,0.323207776427704,0.599099099099099,0.419889502762431,0.303313008018932,0.702810246645863
"spatial","linear","down","M1",0.766755585195065,0.674233969781915,0.326779661016949,0.542792792792793,0.407955988150656,0.287389208556837,0.766436482960456
"spatial","linear","down","M3",0.789429809936646,0.712197642848328,0.370242214532872,0.602477477477477,0.458636948135448,0.352455859689261,0.810123895911567
"spatial","linear","none","M1",0.83894631543848,0.584480615644999,0.417721518987342,0.222972972972973,0.290748898678414,0.222427250242362,0.73396063627228
"spatial","linear","none","M2",0.856285428476159,0.558369915904163,0.560747663551402,0.135135135135135,0.217785843920145,0.223519268463458,0.772414097071631
"spatial","linear","none","M3",0.85728576192064,0.592917746513637,0.545197740112994,0.217342342342342,0.310789049919485,0.280059599622072,0.801370964898362
"spatial","linear","rose","M1",0.759586528842948,0.671887396202465,0.318479685452163,0.547297297297297,0.402651201325601,0.280325623765351,0.763540950441635
"spatial","linear","rose","M2",0.779759919973324,0.687913867879621,0.347856640899508,0.557432432432432,0.428385980095197,0.313767358253399,0.772414097071631
"spatial","linear","rose","M3",0.784428142714238,0.707401359284921,0.361963190184049,0.597972972972973,0.450955414012739,0.342725516017792,0.80663973660549
"spatial","linear","smote","M1",0.839113037679226,0.585508894413004,0.419287211740042,0.225225225225225,0.293040293040293,0.224486462753027,0.73396063627228
"spatial","linear","smote","M2",0.856285428476159,0.558369915904163,0.560747663551402,0.135135135135135,0.217785843920145,0.223519268463458,0.772414097071631
"spatial","linear","smote","M3",0.85728576192064,0.594313393628462,0.544444444444444,0.220720720720721,0.314102564102564,0.28203727801998,0.801370964898362
"spatial","linear","up","M1",0.764088029343114,0.670807549232207,0.322319622387053,0.538288288288288,0.403205398566006,0.281225396136911,0.760666353731422
"spatial","linear","up","M3",0.790096698899633,0.712123816575871,0.371091035441279,0.601351351351351,0.458960034379029,0.352834601008152,0.809961037358298
"spatial","reg","down","M1",0.7675891963988,0.672397128047813,0.326712328767123,0.537162162162162,0.406303236797274,0.285343695571446,0.765326223973484
"spatial","reg","down","M3",0.788429476492164,0.718588794273726,0.37137069547603,0.619369369369369,0.464330941325454,0.360057820766806,0.812878387193456
"spatial","reg","none","M1",0.840113371123708,0.586095978561732,0.424628450106157,0.225225225225225,0.294334069168506,0.227339347583856,0.754469795137603
"spatial","reg","none","M3",0.851783927975992,0.586432273761041,0.498659517426273,0.209459459459459,0.295003965107058,0.254218520797987,0.811439766576753
"spatial","reg","rose","M1",0.762254084694898,0.672987738227464,0.321618037135279,0.546171171171171,0.404841402337229,0.283229449196992,0.764961720526789
"spatial","reg","rose","M3",0.784094698232744,0.711392605913154,0.363147276395427,0.608108108108108,0.454736842105263,0.347732132014739,0.807985137779658
"spatial","reg","smote","M1",0.840113371123708,0.586095978561732,0.424628450106157,0.225225225225225,0.294334069168506,0.227339347583856,0.754469795137603
"spatial","reg","smote","M3",0.851783927975992,0.588293136580808,0.498687664041995,0.213963963963964,0.299448384554768,0.257133803602745,0.810220641385025
"spatial","reg","up","M1",0.763921307102367,0.66931405475926,0.321380243572395,0.53490990990991,0.401521555367709,0.279083078269029,0.762751339891751
"spatial","reg","up","M3",0.789096365455152,0.716188889476561,0.371331058020478,0.612612612612613,0.462388440288993,0.35741158659295,0.812492286807355
"spatial","xgbLinear","down","M1",0.767922640880293,0.670266744239347,0.325966850828729,0.531531531531532,0.404109589041096,0.282609515879997,0.766708097530015
"spatial","xgbLinear","down","M3",0.787762587529176,0.721919130480774,0.371752165223185,0.628378378378378,0.467141063206363,0.363906556892362,0.812553551594647
"spatial","xgbLinear","none","M1",0.843614538179393,0.571868223409319,0.434210526315789,0.185810810810811,0.260252365930599,0.209556517266302,0.759091870735706
"spatial","xgbLinear","none","M3",0.853451150383461,0.590667257276846,0.511936339522546,0.217342342342342,0.305138339920949,0.265350517657357,0.810819185134254
"spatial","xgbLinear","rose","M1",0.763754584861621,0.676659658680207,0.324950363997353,0.552927927927928,0.409337223843268,0.28905071547058,0.765962892932071
"spatial","xgbLinear","rose","M3",0.785261753917973,0.713473184534828,0.365410497981157,0.611486486486487,0.457455770850885,0.351233803951777,0.808752269882407
"spatial","xgbLinear","smote","M1",0.843447815938646,0.571305160346256,0.432717678100264,0.184684684684685,0.258879242304657,0.208170300160983,0.759111374094251
"spatial","xgbLinear","smote","M3",0.853451150383461,0.590667257276846,0.511936339522546,0.217342342342342,0.305138339920949,0.265350517657357,0.810762989016414
"spatial","xgbLinear","up","M1",0.764588196065355,0.672031522716454,0.323450134770889,0.540540540540541,0.404721753794266,0.283176516022277,0.763627338199256
"spatial","xgbLinear","up","M3",0.788762920973658,0.714132331940551,0.370116518163125,0.608108108108108,0.46016190881977,0.354504243268016,0.812183759101567
"spatial","xgbTree","down","M1",0.767089029676559,0.706994763844079,0.34221946683199,0.621621621621622,0.441423430627749,0.331592199677334,0.797264791699723
"spatial","xgbTree","down","M3",0.780593531177059,0.738181185098993,0.368872549019608,0.677927927927928,0.477777777777778,0.380147761544789,0.81949685742494
"spatial","xgbTree","none","M1",0.854951650550183,0.572939255302269,0.53125,0.172297297297297,0.260204081632653,0.242322619769848,0.801026074998678
"spatial","xgbTree","none","M3",0.85728576192064,0.602222060612472,0.540609137055838,0.239864864864865,0.332293291731669,0.293085535667129,0.822792484265087
"spatial","xgbTree","rose","M1",0.776092030676892,0.686226441705894,0.342778161713891,0.558558558558559,0.424839400428265,0.309172309718344,0.778007373812168
"spatial","xgbTree","rose","M3",0.817439146382127,0.688162232682781,0.406165004533092,0.504504504504504,0.450025113008538,0.344996970922949,0.809710578974278
