idx,actual,predctd,prob_X1,prb_dff,msclssf,errr_ty,vldtn_t,log_exp,trade,service,recre,product,underdv,downtwn,avg_rd_,crsswl_,crv_sgn,seg_cnt,park_rd,C_DISTR,crsh_dd,crsh_vn,crash,lon_degree,lat_degree
"12237",X0,X1,0.981890320777893,0.981890320777893,"1",False Positive,spatial,4.831060352922770,0.077614980000000,17.539169999999999,0.059820170000000,0.000000000000000,0.103803900000000,2.000000000000000,28.699999999999999,2.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000,-122.330,47.600
"12238",X0,X1,0.981890320777893,0.981890320777893,"1",False Positive,spatial,5.138031041130700,0.077614980000000,17.539169999999999,0.059820170000000,0.000000000000000,0.103803900000000,2.000000000000000,28.699999999999999,2.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000,-122.330,47.600
"12237",X0,X1,0.984834941104054,0.984834941104054,"1",False Positive,temporal,4.831060352922770,0.077614980000000,17.539169999999999,0.059820170000000,0.000000000000000,0.103803900000000,2.000000000000000,28.699999999999999,2.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000,-122.330,47.600
"12238",X0,X1,0.984834941104054,0.984834941104054,"1",False Positive,temporal,5.138031041130700,0.077614980000000,17.539169999999999,0.059820170000000,0.000000000000000,0.103803900000000,2.000000000000000,28.699999999999999,2.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000,-122.330,47.600
"2839",X0,X1,0.978318095207214,0.978318095207214,"1",False Positive,spatial,5.076445686693600,0.070018388000000,17.676790600000000,0.013925373000000,0.000000000000000,0.114899863000000,2.000000000000000,18.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.329,47.601
"2883",X0,X1,0.978318095207214,0.978318095207214,"1",False Positive,spatial,5.077069139792170,0.070018388000000,17.676790600000000,0.013925373000000,0.000000000000000,0.114899863000000,2.000000000000000,18.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.329,47.601
"2839",X0,X1,0.985282418318093,0.985282418318093,"1",False Positive,temporal,5.076445686693600,0.070018388000000,17.676790600000000,0.013925373000000,0.000000000000000,0.114899863000000,2.000000000000000,18.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.329,47.601
"2883",X0,X1,0.985282418318093,0.985282418318093,"1",False Positive,temporal,5.077069139792170,0.070018388000000,17.676790600000000,0.013925373000000,0.000000000000000,0.114899863000000,2.000000000000000,18.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.329,47.601
"5941",X0,X1,0.977999508380890,0.977999508380890,"1",False Positive,spatial,4.886287110059330,0.138443800000000,13.762490000000000,0.008157912000000,0.000000000000000,0.081205250000000,2.000000000000000,19.399999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.344,47.614
"5941",X0,X1,0.983763376250863,0.983763376250863,"1",False Positive,temporal,4.886287110059330,0.138443800000000,13.762490000000000,0.008157912000000,0.000000000000000,0.081205250000000,2.000000000000000,19.399999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.344,47.614
"360",X0,X1,0.991506993770599,0.991506993770599,"1",False Positive,spatial,5.585433126631900,0.118839830000000,13.895263300000000,0.009809549000000,0.000000000000000,0.054529557000000,2.000000000000000,18.899999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-122.347,47.615
"360",X0,X1,0.970074759796262,0.970074759796262,"1",False Positive,temporal,5.585433126631900,0.118839830000000,13.895263300000000,0.009809549000000,0.000000000000000,0.054529557000000,2.000000000000000,18.899999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-122.347,47.615
"13944",X0,X1,0.983431875705719,0.983431875705719,"1",False Positive,spatial,5.667616553640280,0.060952180000000,29.172840000000001,0.015229640000000,0.000000000000000,0.068112150000000,2.000000000000000,17.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.332,47.603
"13944",X0,X1,0.977901127189398,0.977901127189398,"1",False Positive,temporal,5.667616553640280,0.060952180000000,29.172840000000001,0.015229640000000,0.000000000000000,0.068112150000000,2.000000000000000,17.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.332,47.603
"5158",X0,X1,0.981890320777893,0.981890320777893,"1",False Positive,spatial,5.222748901016070,0.077614980000000,17.539169999999999,0.059820170000000,0.000000000000000,0.103803900000000,2.000000000000000,28.699999999999999,2.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000,-122.330,47.600
"5158",X0,X1,0.978813299909234,0.978813299909234,"1",False Positive,temporal,5.222748901016070,0.077614980000000,17.539169999999999,0.059820170000000,0.000000000000000,0.103803900000000,2.000000000000000,28.699999999999999,2.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000,-122.330,47.600
