"idx","actual","predicted","prob_X1","prob_diff","misclassified","error_type","validation_type","log_exp","trade","service","recre","product","underdev","downtown","avg_road_w","crosswalk_","curve_sign","seg_count","park_ride","C_DISTRICT","crsh_oddyr","crsh_eveny","crash","lon","lat"
"10897","X0","X1",0.981152057647705,0.981152057647705,TRUE,"False Positive","spatial",5.2863884298169,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,1188237,836641.2
"10897","X0","X1",0.978712275624275,0.978712275624275,TRUE,"False Positive","temporal",5.2863884298169,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,1188237,836641.2
"5942","X0","X1",0.984823107719421,0.984823107719421,TRUE,"False Positive","spatial",5.16066879202911,0.1615335,13.25308,0.008686603,0,0.08198275,1,19.4,1,1,2,1,7,0,1,1,1185935,837270
"5942","X0","X1",0.973284959793091,0.973284959793091,TRUE,"False Positive","temporal",5.16066879202911,0.1615335,13.25308,0.008686603,0,0.08198275,1,19.4,1,1,2,1,7,0,1,1,1185935,837270
"2707","X0","X1",0.986071407794952,0.986071407794952,TRUE,"False Positive","spatial",4.70424264011703,0.144626893,13.0161307,0.034205601,0,0.090072006,1,15,1,1,2,1,7,0,2,2,1185839.63,837796.1892
"2707","X0","X1",0.971972746774554,0.971972746774554,TRUE,"False Positive","temporal",4.70424264011703,0.144626893,13.0161307,0.034205601,0,0.090072006,1,15,1,1,2,1,7,0,2,2,1185839.63,837796.1892
"12862","X0","X1",0.980577170848846,0.980577170848846,TRUE,"False Positive","spatial",4.80970731557233,0.08328656,11.97984,0.02275977,0,0.1281947,2,19.2,1,1,2,1,2,0,0,0,1189415,831873.9
"12862","X0","X1",0.975767686963081,0.975767686963081,TRUE,"False Positive","temporal",4.80970731557233,0.08328656,11.97984,0.02275977,0,0.1281947,2,19.2,1,1,2,1,2,0,0,0,1189415,831873.9
"8660","X0","X1",0.977053284645081,0.977053284645081,TRUE,"False Positive","spatial",4.72460439997669,0.1563067,20.32379,0.006338477,0,0.06587324,1,16.8,1,1,2,1,7,0,0,0,1186785,836934.5
"8660","X0","X1",0.978071242570877,0.978071242570877,TRUE,"False Positive","temporal",4.72460439997669,0.1563067,20.32379,0.006338477,0,0.06587324,1,16.8,1,1,2,1,7,0,0,0,1186785,836934.5
"10898","X0","X1",0.991419911384583,0.991419911384583,TRUE,"False Positive","spatial",4.568526689799,0.1354556,19.86069,0.006747284,0,0.1104987,1,16.8,1,1,2,1,7,0,3,3,1187433,837643.7
"10898","X0","X1",0.963300261646509,0.963300261646509,TRUE,"False Positive","temporal",4.568526689799,0.1354556,19.86069,0.006747284,0,0.1104987,1,16.8,1,1,2,1,7,0,3,3,1187433,837643.7
"9447","X0","X1",0.984052419662476,0.984052419662476,TRUE,"False Positive","spatial",5.30188289652928,0.06651837,13.42081,0.1423314,0,0.04573919,2,19,1,1,2,1,7,0,0,0,1183969,838198.3
"9447","X0","X1",0.969488941133022,0.969488941133022,TRUE,"False Positive","temporal",5.30188289652928,0.06651837,13.42081,0.1423314,0,0.04573919,2,19,1,1,2,1,7,0,0,0,1183969,838198.3
"8281","X0","X1",0.980722606182098,0.980722606182098,TRUE,"False Positive","spatial",4.56417253727207,0.1051314,29.81929,0.01076687,0,0.06133591,2,16.8,2,1,1,1,1,0,2,2,1188232,832516.5
"8281","X0","X1",0.972755266353488,0.972755266353488,TRUE,"False Positive","temporal",4.56417253727207,0.1051314,29.81929,0.01076687,0,0.06133591,2,16.8,2,1,1,1,1,0,2,2,1188232,832516.5
